nombre,nombre_corto,correo,web
Consejo Directivo Central,CODICEN,mongay@anep.edu.uy,""
Comisión Honoraria para la Salud Cardiovascular,"",secretariagb@cardiosalud.org,""
Instituto Nacional De Estadística,"",dmuracciole@ine.gub.uy,""
Agencia Para El Desarrollo Del Gobierno De Gestión Electrónica Y La Sociedad De La Información Y Del Conocimiento,"",carina.pizzinat@agesic.gub.uy,""
Unidad De Certificación Electrónica,"",jimena.hernandez@agesic.gub.uy,""
Dirección Nacional Aviación Civil E Infraestructura Aeronáutica,"",tramites@dinacia.gub.uy,""
Dirección Nacional De Policía Caminera,"",dnpc-ayudantia@minterior.gub.uy,""
Casa Militar,casamilitar,casamilsec1@presidencia.gub.uy,""
Dirección Nacional De Asistencia Y Seguridad Social Policial,"",mrinaldi@minterior.gub.uy,""
Instituto Nacional De Rehabilitación,"",inr-comunicacion@minterior.gub.uy,""
Dirección Nacional De Sanidad Policial,"",wmartinez@sanidadpolicial.gub.uy,""
Dirección Nacional De Identificación Civil,"",gestiondocumental@dnic.gub.uy,""
Tesorería General De La Nación,"",secretariatgn@tgn.gub.uy,""
"Servicio Oficial Difusión, Radiotelevisión, Espectáculos","",dirdifinco@gmail.com,""
Cámara De Representantes,"",vortiz@diputados.gub.uy,""
Facultad De Ciencias Sociales,"",decanato@cienciassociales.edu.uy,""
Unidad reguladora y de control de datos personales,URCP,graciela.romero@agesic.gub.uy,""
Fondo De Financiamiento Y Desarrollo Sustentable De La Actividad Lechera,"",mportas@ffdsal.com,""
"Dirección General de Secretaría del Ministerio De Industria, Energía y Minería",miem,direccion.general@miem.gub.uy,""
Unidad Reguladora de Servicios de Energía y Agua,urea,hector.cocaro@ursea.gub.uy,""
Caja Jubilaciones Y Pensiones Profesionales Universitarios,"",rminerva@cjppu.org.uy,""
Dirección Nacional de Trabajo,DINATRA,pgutierrez@mtss.gub.uy,""
Dirección Nacional De Migración,"",dnm-tramite@minterior.gub.uy,""
